V1,V2,V3,V4,V5,V6
南京復興站出口1,1,121.542121,25.052625,319,319
南京復興站出口2,2,121.541863,25.051748,320,320
南京復興站出口3,3,121.543237,25.051719,321,321
南京復興站出口4,4,121.543237,25.051719,322,322
南京復興站出口5,5,121.544338,25.051727,323,323
南京復興站出口6,6,121.544908,25.052057,324,324
南京復興站出口8,8,121.543819,25.052018,325,325
南京復興站出口7,7,121.54447,25.052329,326,326
中山站出口1,1,121.520303,25.052414,327,327
中山站出口4,4,121.520306,25.052858,328,328
中山站出口2,2,121.521063,25.052382,329,329
中山站出口3,3,121.521154,25.052611,330,330
中山站出口5,5,121.519329,25.053037,331,331
中山站出口6,6,121.519007,25.052833,332,332
西門站出口1,1,121.507566,25.042137,333,333
西門站出口2,2,121.508435,25.041545,334,334
西門站出口3,3,121.508888,25.041789,335,335
西門站出口4,4,121.509006,25.042203,336,336
西門站出口5,5,121.508789,25.042935,337,337
西門站出口6,6,121.507602,25.042573,338,338
松江南京站出口1,1,121.532388,25.051842,339,339
松江南京站出口2,2,121.532875,25.051342,340,340
松江南京站出口3,3,121.53287,25.051085,341,341
松江南京站出口4,4,121.53324,25.051624,342,342
松江南京站出口5,5,121.534081,25.051882,343,343
松江南京站出口6,6,121.533727,25.052095,344,344
松江南京站出口7,7,121.533195,25.05247,345,345
松江南京站出口8,8,121.532826,25.05257,346,346
北門站出口1,1,121.509862,25.048737,347,347
北門站出口2,2,121.510506,25.049583,348,348
北門站出口3,3,121.510227,25.049943,349,349
台北小巨蛋站出口1,1,121.55153,25.051836,350,350
台北小巨蛋站出口2,2,121.550715,25.051571,351,351
台北小巨蛋站出口3,3,121.552549,25.05152,352,352
台北小巨蛋站出口4,4,121.552898,25.051534,353,353
台北小巨蛋站出口5,5,121.552069,25.051838,354,354
南京三民站出口1,1,121.563643,25.051517,355,355
南京三民站出口2,2,121.563073,25.051215,356,356
南京三民站出口3,3,121.564595,25.051328,357,357
南京三民站出口4,4,121.56471,25.051588,358,358
松山站出口1,1,121.577022,25.050171,359,359
松山站出口2,2,121.576244,25.050171,360,360
松山站出口3,3,121.577464,25.049799,361,361
松山站出口4,4,121.577971,25.049799,362,362
松山站出口5,5,121.57813,25.050557,0,10000
